COMID,LAKE_NAME,LON_NAD83,LAT_NAD83,VARIABLE,THRESHOLD,BLOOM_MAG,PROB_EXCEED,CI_97.5PERC,CI_2.5PERC
20194524,Folsom Lake,-121.131213,38.72817607,microcystin,0.2,0.001480496,0.115406949,0.175530987,0.074027882
20197596,Camanche Reservoir,-120.9690254,38.21431697,microcystin,0.2,0.001442336,0.115269267,0.175378582,0.073915183
202621,La Sal Vieja,-97.87649714,26.53073675,microcystin,0.2,0.00053878,0.112050818,0.171810272,0.071287874
20273047,Lake Crowley,-118.741908,37.59939965,microcystin,0.2,0.091914683,0.761527205,0.881116649,0.579103454
20277691,Tinemaha Reservoir,-118.2198872,37.0632267,microcystin,0.2,0.010209848,0.150844207,0.214393287,0.103646756
20286504,Mono Lake,-118.967416,38.03010827,microcystin,0.2,0.000879871,0.113256447,0.173148275,0.072270433
20286972,Grant Lake,-119.1113532,37.84253076,microcystin,0.2,0.00357205,0.123174468,0.184101471,0.080423295
20291765,Eagle Lake,-120.7839861,40.57556166,microcystin,0.2,0.014962692,0.173655897,0.239397942,0.123046896
20295245,Mountain Meadows Reservoir,-120.954952,40.26797592,microcystin,0.2,0.006909265,0.136496022,0.198710321,0.091535276
20310407,Dodge Reservoir,-120.1426784,40.97954736,microcystin,0.2,0.032078086,0.277932811,0.358754326,0.209374023
2031719,Mazaska Lake,-93.39613865,44.37249869,microcystin,0.2,0.112659421,0.86927916,0.950894991,0.695457216
2031725,Shields Lake,-93.44148584,44.36981283,microcystin,0.2,0.116443674,0.88374789,0.958494775,0.714486845
2031749,Lake Dora,-93.58193442,44.35374166,microcystin,0.2,0.144575192,0.953608422,0.988499717,0.830961032
2031773,Gorman Lake,-93.6619099,44.34137356,microcystin,0.2,0.048701084,0.409277464,0.519056033,0.307854852
2031777,French Lake,-93.39173992,44.33881052,microcystin,0.2,0.133176433,0.932142607,0.980552163,0.789144258
2031815,Roberds Lake,-93.34526822,44.3274521,microcystin,0.2,0.120574574,0.897934137,0.965510769,0.734377422
2031943,German Lake,-93.72642191,44.27478525,microcystin,0.2,0.085073898,0.714875397,0.844094208,0.537268689
2031955,Cannon Lake,-93.35802431,44.26610178,microcystin,0.2,0.117645144,0.888041912,0.960664564,0.720368294
2032039,Sakatah Lake,-93.52840757,44.22957777,microcystin,0.2,0.134092416,0.934162845,0.98135228,0.792773515
2032055,Tetonka Lake,-93.60772844,44.23047761,microcystin,0.2,0.100635227,0.812970317,0.917250106,0.630251774
2032117,Lake Francis,-93.70335379,44.21035517,microcystin,0.2,0.02760374,0.247321186,0.322670297,0.184767602
2032351,Clear Lake,-93.48458752,44.08701335,microcystin,0.2,0.138970898,0.944010259,0.985100613,0.811305193
20332372,Sweetwater Reservoir,-116.992735,32.69506439,microcystin,0.2,0.003391466,0.122486485,0.183344335,0.079854046
20342929,Lake Henshaw,-116.7457259,33.23742906,microcystin,0.2,0.08682619,0.727334878,0.854368518,0.548101268
204341,Unit Number Two,-97.94645678,26.4129221,microcystin,0.2,0.249496067,0.998810599,0.99991629,0.98334359
2043487,Woodmen Youth Camp Lake,-83.92124378,34.29178108,microcystin,0.2,0.000463627,0.111786689,0.171516924,0.071072884
2045165,Lake Sidney Lanier,-84.03601241,34.16483767,microcystin,0.2,0.00049264,0.111888591,0.171630109,0.071155817
20475378,Lake Pleasant,-112.2729977,33.88184428,microcystin,0.2,0.00113439,0.114163436,0.174153793,0.073010904
204781,Laguna Atascosa,-97.37739794,26.23648138,microcystin,0.2,0.007142157,0.137469549,0.199775201,0.092353105
205377,Resevoir Number One,-97.72731727,26.05650375,microcystin,0.2,0.220736587,0.99671856,0.999675573,0.967680989
2066026,Cherry Lake,-83.41477299,30.61489797,microcystin,0.2,0.018952951,0.194843373,0.262869769,0.141052485
20756596,Balmorhea Lake,-103.7207579,30.96298425,microcystin,0.2,0.005874037,0.132238652,0.194050155,0.087967188
207611,Main Resevoir,-97.55106428,25.97195534,microcystin,0.2,0.245171455,0.998614348,0.999897368,0.981587437
20814160,Storie Lake,-105.2417642,35.66711339,microcystin,0.2,0.000935175,0.11345299,0.173366244,0.072430798
20818104,Lake Sumner,-104.43072,34.64565974,microcystin,0.2,0.003810545,0.124088165,0.185106501,0.081180087
20873572,Lake Parsons,-95.34282823,37.40823993,microcystin,0.2,0.005308757,0.129961791,0.191555106,0.086065028
20887903,Wolf Creek Resevoir,-95.68907312,38.21057425,microcystin,0.2,0.002042913,0.11745275,0.177793377,0.075705303
